coords,alt,time
"(42.865367, -1.569778)",485.111,2017-04-29 11:25:45+00:00
"(42.865086, -1.570601)",478.07,2017-04-29 11:26:07+00:00
"(42.864564, -1.570933)",476.714,2017-04-29 11:26:21+00:00
"(42.862766, -1.57132)",474.091,2017-04-29 11:27:28+00:00
"(42.862011, -1.570824)",476.528,2017-04-29 11:28:11+00:00
"(42.861658, -1.57092)",472.589,2017-04-29 11:28:21+00:00
"(42.861393, -1.57139)",474.917,2017-04-29 11:28:36+00:00
"(42.860241, -1.572471)",468.108,2017-04-29 11:29:12+00:00
"(42.859855, -1.573179)",463.883,2017-04-29 11:29:23+00:00
"(42.859747, -1.573638)",461.541,2017-04-29 11:29:31+00:00
"(42.860019, -1.574698)",463.168,2017-04-29 11:30:00+00:00
"(42.857221, -1.578097)",468.738,2017-04-29 11:33:31+00:00
"(42.856342, -1.578802)",471.325,2017-04-29 11:34:19+00:00
"(42.856027, -1.579409)",473.024,2017-04-29 11:34:36+00:00
"(42.855608, -1.57982)",474.268,2017-04-29 11:34:54+00:00
"(42.854669, -1.578883)",456.695,2017-04-29 11:35:24+00:00
"(42.85409, -1.579045)",454.626,2017-04-29 11:35:37+00:00
"(42.85287, -1.579839)",452.647,2017-04-29 11:36:02+00:00
"(42.852234, -1.581724)",451.311,2017-04-29 11:36:37+00:00
"(42.85215, -1.582555)",451.708,2017-04-29 11:36:50+00:00
"(42.852284, -1.583586)",453.813,2017-04-29 11:37:17+00:00
"(42.852727, -1.583786)",459.831,2017-04-29 11:37:58+00:00
"(42.852034, -1.585179)",477.428,2017-04-29 11:40:28+00:00
"(42.851309, -1.58577)",482.818,2017-04-29 11:43:48+00:00
"(42.851121, -1.586164)",480.695,2017-04-29 11:44:03+00:00
"(42.850891, -1.585727)",470.714,2017-04-29 11:44:22+00:00
"(42.849882, -1.585591)",465.048,2017-04-29 11:44:47+00:00
"(42.849475, -1.585772)",464.195,2017-04-29 11:44:55+00:00
"(42.846811, -1.587769)",463.929,2017-04-29 11:46:13+00:00
"(42.845447, -1.588475)",460.8,2017-04-29 11:46:58+00:00
"(42.845261, -1.588736)",463.82,2017-04-29 11:47:08+00:00
"(42.844107, -1.589272)",465.708,2017-04-29 11:48:01+00:00
