coords,alt,time
"(43.010221, -1.319525)",953.053,2017-04-29 05:41:48+00:00
"(43.009372, -1.319931)",951.804,2017-04-29 05:43:56+00:00
"(43.009108, -1.319748)",950.914,2017-04-29 05:44:50+00:00
"(43.00853, -1.319887)",947.508,2017-04-29 05:45:16+00:00
"(43.007335, -1.319483)",942.526,2017-04-29 05:52:57+00:00
"(43.005822, -1.319403)",937.854,2017-04-29 05:53:41+00:00
"(43.003621, -1.320663)",931.031,2017-04-29 05:54:47+00:00
"(43.002268, -1.322268)",923.081,2017-04-29 05:55:37+00:00
"(43.001595, -1.324446)",919.898,2017-04-29 05:56:37+00:00
"(43.000573, -1.326039)",918.247,2017-04-29 05:57:13+00:00
"(42.999981, -1.327322)",915.441,2017-04-29 05:57:39+00:00
"(42.998857, -1.327775)",914.958,2017-04-29 05:58:23+00:00
"(42.997504, -1.328641)",910.971,2017-04-29 05:58:56+00:00
"(42.996491, -1.330353)",904.641,2017-04-29 06:04:17+00:00
"(42.994349, -1.329792)",904.015,2017-04-29 06:05:06+00:00
"(42.993971, -1.329512)",903.308,2017-04-29 06:05:21+00:00
"(42.993385, -1.329649)",902.228,2017-04-29 06:05:36+00:00
"(42.992274, -1.330828)",897.076,2017-04-29 06:06:10+00:00
"(42.992197, -1.331541)",895.543,2017-04-29 06:06:24+00:00
"(42.990633, -1.33489)",895.733,2017-04-29 06:07:26+00:00
"(42.989315, -1.335937)",893.05,2017-04-29 06:08:00+00:00
"(42.989108, -1.335945)",892.699,2017-04-29 06:09:22+00:00
"(42.986699, -1.337396)",888.043,2017-04-29 06:10:20+00:00
"(42.986183, -1.337958)",886.38,2017-04-29 06:11:06+00:00
"(42.986848, -1.337217)",888.058,2017-04-29 06:11:34+00:00
"(42.988375, -1.336491)",890.652,2017-04-29 06:12:20+00:00
"(42.988557, -1.337123)",883.017,2017-04-29 06:12:45+00:00
"(42.988485, -1.33754)",878.408,2017-04-29 06:13:28+00:00
"(42.988727, -1.338945)",879.046,2017-04-29 06:15:16+00:00
"(42.989494, -1.341237)",879.584,2017-04-29 06:16:13+00:00
"(42.989472, -1.342014)",880.421,2017-04-29 06:16:26+00:00
"(42.989712, -1.342625)",884.561,2017-04-29 06:16:45+00:00
"(42.989691, -1.3448)",880.788,2017-04-29 06:18:00+00:00
"(42.98929, -1.345627)",881.137,2017-04-29 06:18:17+00:00
"(42.989336, -1.348059)",882.411,2017-04-29 06:18:59+00:00
"(42.989981, -1.351578)",882.388,2017-04-29 06:20:37+00:00
"(42.989623, -1.355203)",880.689,2017-04-29 06:22:15+00:00
"(42.989298, -1.355701)",881.206,2017-04-29 06:23:06+00:00
"(42.989324, -1.35647)",884.726,2017-04-29 06:23:39+00:00
"(42.989676, -1.358133)",888.708,2017-04-29 06:24:25+00:00
"(42.989603, -1.359418)",889.649,2017-04-29 06:24:56+00:00
"(42.989173, -1.36012)",891.977,2017-04-29 06:25:22+00:00
"(42.989132, -1.360673)",889.924,2017-04-29 06:25:36+00:00
"(42.988382, -1.360858)",888.134,2017-04-29 06:26:14+00:00
"(42.98786, -1.36133)",896.361,2017-04-29 06:26:57+00:00
"(42.986741, -1.361845)",920.31,2017-04-29 06:29:29+00:00
"(42.986306, -1.362875)",925.534,2017-04-29 06:30:37+00:00
"(42.985534, -1.363324)",918.261,2017-04-29 06:30:55+00:00
"(42.984114, -1.364498)",899.413,2017-04-29 06:31:15+00:00
"(42.982028, -1.366855)",874.443,2017-04-29 06:31:42+00:00
"(42.981111, -1.36747)",870.007,2017-04-29 06:31:56+00:00
"(42.980223, -1.369026)",870.308,2017-04-29 06:32:24+00:00
"(42.979594, -1.369277)",869.182,2017-04-29 06:32:40+00:00
"(42.979147, -1.369644)",867.46,2017-04-29 06:32:58+00:00
"(42.979562, -1.371115)",869.017,2017-04-29 06:33:33+00:00
"(42.979808, -1.371042)",869.217,2017-04-29 06:34:01+00:00
"(42.979573, -1.371152)",869.194,2017-04-29 07:10:04+00:00
"(42.979931, -1.37254)",873.143,2017-04-29 07:10:56+00:00
"(42.978266, -1.374162)",876.057,2017-04-29 07:12:11+00:00
"(42.976407, -1.378565)",908.934,2017-04-29 07:15:57+00:00
"(42.976089, -1.379012)",912.971,2017-04-29 07:16:27+00:00
"(42.975524, -1.381656)",943.141,2017-04-29 07:21:48+00:00
"(42.976343, -1.381855)",942.115,2017-04-29 07:23:04+00:00
"(42.976901, -1.382286)",948.108,2017-04-29 07:24:35+00:00
"(42.977548, -1.383107)",948.828,2017-04-29 07:25:33+00:00
"(42.978595, -1.384049)",943.516,2017-04-29 07:26:02+00:00
"(42.979802, -1.385699)",922.563,2017-04-29 07:26:49+00:00
"(42.979987, -1.386437)",922.343,2017-04-29 07:27:11+00:00
"(42.979867, -1.386636)",923.05,2017-04-29 07:29:04+00:00
"(42.979923, -1.386945)",922.079,2017-04-29 07:29:14+00:00
"(42.980257, -1.387622)",917.693,2017-04-29 07:29:39+00:00
"(42.979695, -1.388741)",901.31,2017-04-29 07:30:21+00:00
"(42.979247, -1.390162)",884.861,2017-04-29 07:30:44+00:00
"(42.978805, -1.390969)",873.021,2017-04-29 07:31:00+00:00
"(42.977996, -1.393161)",868.713,2017-04-29 07:31:34+00:00
"(42.977677, -1.396111)",850.608,2017-04-29 07:32:45+00:00
"(42.977244, -1.397033)",845.117,2017-04-29 07:34:12+00:00
"(42.977565, -1.397698)",839.495,2017-04-29 07:35:15+00:00
"(42.977603, -1.398383)",825.872,2017-04-29 07:36:35+00:00
"(42.977056, -1.39832)",819.422,2017-04-29 07:36:51+00:00
"(42.976762, -1.398621)",814.149,2017-04-29 07:37:01+00:00
"(42.976451, -1.398611)",812.218,2017-04-29 07:38:08+00:00
"(42.975223, -1.400265)",827.142,2017-04-29 07:40:12+00:00
"(42.974296, -1.401232)",825.669,2017-04-29 07:40:35+00:00
"(42.973747, -1.402403)",816.393,2017-04-29 07:40:50+00:00
"(42.97283, -1.40384)",797.365,2017-04-29 07:41:16+00:00
"(42.97245, -1.404067)",791.521,2017-04-29 07:41:23+00:00
"(42.972001, -1.404099)",786.308,2017-04-29 07:41:32+00:00
"(42.971801, -1.405006)",772.81,2017-04-29 07:41:44+00:00
"(42.971358, -1.405188)",765.778,2017-04-29 07:41:53+00:00
"(42.97077, -1.406044)",752.815,2017-04-29 07:42:19+00:00
"(42.970722, -1.406549)",751.445,2017-04-29 07:43:03+00:00
"(42.971162, -1.407301)",753.542,2017-04-29 07:43:23+00:00
"(42.971308, -1.407864)",756.751,2017-04-29 07:43:40+00:00
"(42.970852, -1.409776)",764.595,2017-04-29 07:44:34+00:00
"(42.9703, -1.411089)",770.292,2017-04-29 07:45:19+00:00
"(42.969956, -1.413919)",782.091,2017-04-29 07:51:10+00:00
"(42.969038, -1.416752)",776.381,2017-04-29 07:52:06+00:00
"(42.96824, -1.41708)",778.519,2017-04-29 07:52:32+00:00
"(42.967289, -1.418338)",780.008,2017-04-29 07:53:16+00:00
"(42.967495, -1.418721)",778.63,2017-04-29 07:53:26+00:00
"(42.96748, -1.422115)",780.798,2017-04-29 07:54:33+00:00
"(42.966905, -1.424851)",770.955,2017-04-29 07:55:48+00:00
"(42.966421, -1.425883)",766.475,2017-04-29 07:56:18+00:00
"(42.965898, -1.427833)",754.462,2017-04-29 07:57:09+00:00
"(42.965651, -1.428304)",753.191,2017-04-29 07:57:22+00:00
"(42.965868, -1.428748)",749.415,2017-04-29 07:57:38+00:00
"(42.965259, -1.431147)",744.962,2017-04-29 08:00:12+00:00
"(42.963638, -1.434455)",743.528,2017-04-29 08:01:29+00:00
"(42.963518, -1.435724)",735.789,2017-04-29 08:01:45+00:00
"(42.963162, -1.436255)",733.617,2017-04-29 08:01:54+00:00
"(42.96266, -1.437699)",732.708,2017-04-29 08:02:15+00:00
"(42.962329, -1.43782)",734.263,2017-04-29 08:02:26+00:00
"(42.962044, -1.438619)",743.291,2017-04-29 08:03:04+00:00
"(42.961266, -1.441725)",776.858,2017-04-29 08:07:03+00:00
"(42.961173, -1.442757)",784.588,2017-04-29 08:07:57+00:00
"(42.960922, -1.443353)",786.975,2017-04-29 08:08:39+00:00
"(42.960937, -1.44447)",801.854,2017-04-29 08:11:00+00:00
"(42.960606, -1.44511)",811.488,2017-04-29 08:12:26+00:00
"(42.960314, -1.446798)",835.215,2017-04-29 08:15:57+00:00
"(42.95994, -1.447752)",834.528,2017-04-29 08:16:36+00:00
"(42.959903, -1.448449)",830.689,2017-04-29 08:16:48+00:00
"(42.960329, -1.450043)",839.817,2017-04-29 08:18:42+00:00
"(42.960941, -1.450416)",840.608,2017-04-29 08:19:08+00:00
"(42.961246, -1.450973)",845.963,2017-04-29 08:19:33+00:00
"(42.96131, -1.451463)",847.911,2017-04-29 08:19:52+00:00
"(42.961189, -1.451873)",845.488,2017-04-29 08:20:01+00:00
"(42.960772, -1.452459)",845.728,2017-04-29 08:20:19+00:00
"(42.959767, -1.452811)",836.235,2017-04-29 08:20:42+00:00
"(42.959344, -1.452769)",834.524,2017-04-29 08:20:52+00:00
"(42.958867, -1.453018)",832.678,2017-04-29 08:21:05+00:00
"(42.958624, -1.453515)",833.745,2017-04-29 08:21:21+00:00
"(42.958627, -1.454945)",833.886,2017-04-29 08:23:08+00:00
"(42.956094, -1.454973)",821.76,2017-04-29 08:24:11+00:00
"(42.955648, -1.455422)",825.426,2017-04-29 08:24:30+00:00
"(42.955286, -1.456917)",827.908,2017-04-29 08:25:15+00:00
"(42.953716, -1.458788)",822.089,2017-04-29 08:26:05+00:00
"(42.95391, -1.460119)",813.657,2017-04-29 08:26:27+00:00
"(42.953906, -1.46132)",820.214,2017-04-29 08:27:06+00:00
"(42.95356, -1.462727)",821.494,2017-04-29 08:27:59+00:00
"(42.952182, -1.464658)",818.751,2017-04-29 08:29:05+00:00
"(42.951239, -1.465172)",820.96,2017-04-29 08:29:36+00:00
"(42.95087, -1.464975)",823.654,2017-04-29 08:31:33+00:00
"(42.950236, -1.463869)",835.491,2017-04-29 08:34:38+00:00
"(42.950054, -1.463798)",840.546,2017-04-29 08:35:01+00:00
"(42.949868, -1.464016)",842.788,2017-04-29 08:36:00+00:00
"(42.949298, -1.465682)",848.816,2017-04-29 08:37:28+00:00
"(42.948472, -1.466825)",845.908,2017-04-29 08:38:04+00:00
"(42.947343, -1.467458)",837.215,2017-04-29 08:38:44+00:00
"(42.94562, -1.467989)",823.883,2017-04-29 08:39:46+00:00
"(42.945205, -1.46853)",817.64,2017-04-29 08:40:17+00:00
"(42.943425, -1.469357)",811.85,2017-04-29 08:41:01+00:00
"(42.941973, -1.470399)",805.757,2017-04-29 08:41:50+00:00
"(42.941673, -1.470443)",802.156,2017-04-29 08:42:00+00:00
"(42.941402, -1.470931)",799.54,2017-04-29 08:46:43+00:00
"(42.941281, -1.47082)",801.357,2017-04-29 08:49:29+00:00
"(42.940141, -1.471438)",793.391,2017-04-29 08:50:16+00:00
"(42.939119, -1.472528)",780.081,2017-04-29 08:50:39+00:00
"(42.938617, -1.473313)",769.419,2017-04-29 08:50:57+00:00
"(42.938302, -1.473924)",767.608,2017-04-29 08:51:29+00:00
"(42.937822, -1.475566)",769.52,2017-04-29 08:52:17+00:00
"(42.937496, -1.4772)",778.068,2017-04-29 08:53:06+00:00
"(42.938231, -1.481779)",758.325,2017-04-29 08:54:35+00:00
"(42.938477, -1.48282)",750.275,2017-04-29 08:54:57+00:00
"(42.938759, -1.483171)",745.712,2017-04-29 08:55:13+00:00
"(42.938453, -1.484207)",734.661,2017-04-29 08:55:44+00:00
"(42.938525, -1.484877)",728.795,2017-04-29 08:56:05+00:00
"(42.939115, -1.486402)",717.472,2017-04-29 08:56:58+00:00
"(42.939556, -1.487029)",713.566,2017-04-29 08:57:20+00:00
"(42.939483, -1.487858)",706.729,2017-04-29 08:57:46+00:00
"(42.939066, -1.488977)",687.621,2017-04-29 08:58:23+00:00
"(42.938654, -1.489394)",682.308,2017-04-29 08:59:08+00:00
"(42.938293, -1.490336)",674.137,2017-04-29 08:59:29+00:00
"(42.93789, -1.492593)",654.565,2017-04-29 09:00:39+00:00
"(42.937515, -1.493541)",642.822,2017-04-29 09:01:53+00:00
"(42.935605, -1.495248)",639.512,2017-04-29 09:02:53+00:00
"(42.933636, -1.496037)",635.239,2017-04-29 09:04:06+00:00
"(42.933237, -1.496449)",628.718,2017-04-29 09:04:20+00:00
"(42.932944, -1.496474)",624.962,2017-04-29 09:04:37+00:00
"(42.932723, -1.496804)",618.039,2017-04-29 09:04:48+00:00
"(42.932228, -1.496949)",609.018,2017-04-29 09:05:10+00:00
"(42.932, -1.497438)",599.898,2017-04-29 09:05:24+00:00
"(42.931522, -1.497895)",589.817,2017-04-29 09:05:49+00:00
"(42.931384, -1.498281)",581.708,2017-04-29 09:06:04+00:00
"(42.930853, -1.498726)",568.492,2017-04-29 09:06:27+00:00
"(42.930376, -1.500185)",547.35,2017-04-29 09:07:29+00:00
"(42.930123, -1.501798)",538.027,2017-04-29 09:08:03+00:00
"(42.930157, -1.5024)",531.567,2017-04-29 09:08:16+00:00
"(42.929852, -1.502833)",527.514,2017-04-29 09:08:43+00:00
"(42.930055, -1.503249)",522.743,2017-04-29 09:10:46+00:00
"(42.92982, -1.502968)",526.227,2017-04-29 09:12:56+00:00
"(42.93, -1.502781)",527.014,2017-04-29 09:13:14+00:00
"(42.929841, -1.502963)",526.153,2017-04-29 09:13:41+00:00
"(42.92984, -1.503303)",522.304,2017-04-29 09:18:32+00:00
"(42.930219, -1.504538)",525.314,2017-04-29 09:20:35+00:00
"(42.930275, -1.504462)",525.108,2017-04-29 09:22:40+00:00
"(42.930223, -1.504627)",525.716,2017-04-29 09:22:58+00:00
"(42.930319, -1.504511)",525.444,2017-04-29 09:23:07+00:00
"(42.930099, -1.5045)",525.231,2017-04-29 09:25:39+00:00
"(42.930193, -1.50434)",525.061,2017-04-29 09:26:02+00:00
"(42.930364, -1.504579)",525.688,2017-04-29 09:26:59+00:00
"(42.930226, -1.504672)",525.897,2017-04-29 09:36:11+00:00
"(42.92994, -1.503998)",525.011,2017-04-29 09:36:27+00:00
"(42.929825, -1.502881)",527.188,2017-04-29 09:41:05+00:00
"(42.929219, -1.502787)",535.078,2017-04-29 09:41:36+00:00
"(42.928664, -1.502283)",536.333,2017-04-29 09:42:24+00:00
"(42.928097, -1.502198)",529.426,2017-04-29 09:43:03+00:00
"(42.927329, -1.502894)",536.108,2017-04-29 09:45:31+00:00
"(42.926691, -1.504153)",528.018,2017-04-29 09:45:56+00:00
"(42.925316, -1.504782)",525.766,2017-04-29 09:46:34+00:00
"(42.924273, -1.504505)",532.043,2017-04-29 09:47:24+00:00
"(42.923883, -1.504681)",536.993,2017-04-29 09:48:12+00:00
"(42.923422, -1.50645)",521.51,2017-04-29 09:48:58+00:00
"(42.922902, -1.506415)",525.429,2017-04-29 09:49:20+00:00
"(42.920374, -1.507789)",542.863,2017-04-29 09:51:08+00:00
